text,dominant_distortion,secondary_distortion
"I burned the toast, so I ruin every meal, and I'm starving my family.",Overgeneralization,Personalization
"I spilled water; the floor is ruined, and I should be more careful.",Magnification or Minimization,Should Statements
My diet is ruined because I ate one french fry.,All-or-Nothing Thinking,
All politicians are crooks.,Overgeneralization,
It’s just a Pulitzer; it doesn't mean I can write.,Magnification or Minimization,
"I should not be sad, and crying makes me pathetic.",Should Statements,Magnification or Minimization
I should not be sad.,Should Statements,
I feel self-conscious about speaking up in meetings.,No Distortion,
The boss wants to see me; I'm definitely getting fired.,Jumping to Conclusions,
"I feel guilty, so I am bad, and I am the cause of all this trouble.",Emotional Reasoning,Personalization
"My husband is sad; I upset him, and he's thinking about leaving me.",Personalization,Jumping to Conclusions
"I passed the bar, but my score wasn't top tier, so I'm barely a lawyer.",Mental Filter,
"If I don't get straight As, I'm a dropout, and I can't stop thinking about that B minus.",All-or-Nothing Thinking,Mental Filter
"If I'm not thin, I'm fat and ugly.",All-or-Nothing Thinking,
He looks bored; I'm uninteresting.,Personalization,
She's looking at the door; she wants to leave.,Jumping to Conclusions,
"I tripped; everyone hates me, and this video will go viral.",Magnification or Minimization,Jumping to Conclusions
I feel insecure when I have to meet new people at parties.,No Distortion,
I got a B+; I'm failing school.,Magnification or Minimization,
I lost $20; I’m going to go bankrupt.,Magnification or Minimization,
"I didn't win gold, so I'm a loser, and I'm minimizing the silver medal.",Magnification or Minimization,Mental Filter
I should have known the answer.,Should Statements,
"I feel tired, so I am lazy.",Emotional Reasoning,
"I was late; I've destroyed my reputation, and they'll never trust me again.",Magnification or Minimization,Jumping to Conclusions
This stain is a catastrophe.,Magnification or Minimization,
Waiting for this email is sheer agony.,Magnification or Minimization,
"We had a nice walk, but it was humid, so it was miserable, and I'm a sweat-hog.",Mental Filter,Labeling
"I feel rejected, so I am unworthy.",Emotional Reasoning,
I am a bad influence.,Labeling,
I should not be tired.,Should Statements,
It's my way or the highway.,All-or-Nothing Thinking,
"I feel anxious, so there is danger, and I should be careful.",Emotional Reasoning,Should Statements
"I finished the project, but anyone could have done it.",Disqualifying the Positive,
"I tripped; everyone hates me, and I'm magnifying the embarrassment.",Magnification or Minimization,Mental Filter
"If I go, nobody will talk to me, and my friends inviting me are just doing it out of pity.",Jumping to Conclusions,Disqualifying the Positive
He didn't text back; people are so unreliable.,Overgeneralization,
I should have known better.,Should Statements,
I should always be strong.,Should Statements,
"The store is closed; I caused this, and now I won't be able to buy dinner.",Personalization,Jumping to Conclusions
"I am weak, so I can't handle any stress.",Labeling,All-or-Nothing Thinking
I failed one interview; I'll never get hired.,Overgeneralization,
The project failed; I take full responsibility for everything.,Personalization,
I am a slob.,Labeling,
"I got the grant, but they had extra money to burn.",Disqualifying the Positive,
"Unless everyone likes me, I'm worthless, because I feel so rejected when one person frowns.",All-or-Nothing Thinking,Emotional Reasoning
"My song was streamed, but only by my friends.",Disqualifying the Positive,
It rained on my wedding; I jinxed it and the marriage is doomed.,Personalization,All-or-Nothing Thinking
"I feel angry, so you are evil.",Emotional Reasoning,
"I fixed the leak, but a real plumber would have done it faster.",Disqualifying the Positive,
"I have a pimple; I look like a monster, and nobody will want to date me.",Magnification or Minimization,Jumping to Conclusions
"Unless I'm perfect, I'm worthless.",All-or-Nothing Thinking,
"I fixed the sink, but I needed a manual, so I'm incompetent, and I'm a burden to my wife.",Disqualifying the Positive,Personalization
I must always be polite.,Should Statements,
"My partner is great, but he forgot the milk, so he's useless, and this negligence is unforgivable.",Mental Filter,Magnification or Minimization
He didn't hold the door; chivalry is dead.,Overgeneralization,
"It rained today, so the weather is always bad for me, and I'm cursed.",Overgeneralization,Labeling
I am a fraud.,Labeling,
"If I'm not perfect, I'm worthless.",All-or-Nothing Thinking,
"I feel angry, so you are my enemy.",Emotional Reasoning,All-or-Nothing Thinking
"I have a headache; it's a tumor, because I feel so scared of dying.",Jumping to Conclusions,Emotional Reasoning
"They laughed at my joke, but they were just being polite.",Disqualifying the Positive,
"The report has an error, so it's complete garbage.",All-or-Nothing Thinking,
Everyone always talks over me in meetings.,Overgeneralization,
"If I don't get this promotion, I'm a total failure, and I'm a loser.",All-or-Nothing Thinking,Labeling
"I should not be sad, and the fact that I have reason to grieve is irrelevant.",Should Statements,Disqualifying the Positive
I am weak.,Labeling,
"I feel angry, so you are wrong.",Emotional Reasoning,
"The soup was delicious, but it was slightly too salty, so I hated the meal.",Mental Filter,
My husband is quiet; I bored him.,Personalization,
"She's crying; I hurt her, because I feel so mean.",Personalization,Emotional Reasoning
"He hasn't called, so he hates me, and I'm stupid for thinking he liked me.",Jumping to Conclusions,Labeling
The doctor is quiet; it's definitely terminal.,Jumping to Conclusions,
"I'm nervous about the results of my biopsy, hoping it's benign.",No Distortion,
I feel cautious about lending money to him again.,No Distortion,
"My performance was trash because I hesitated, and I feel so embarrassed it must have been awful.",All-or-Nothing Thinking,Emotional Reasoning
"I passed the test, but I missed one point, so I'm stupid, and I won't get into grad school.",Mental Filter,Jumping to Conclusions
"The boss called me in, so I'm fired, and I'm fixated on his stern face.",Jumping to Conclusions,Mental Filter
"She's crying; I hurt her, and I'm focused only on her tears.",Personalization,Mental Filter
I'm baffled as to why the computer keeps crashing.,No Distortion,
"If the house isn't spotless, it's a pigsty, and I'm making my family live in filth.",All-or-Nothing Thinking,Personalization
I feel frustrated that the contractor delayed the kitchen renovation again.,No Distortion,
I am a coward.,Labeling,
"I feel ashamed, so I am bad.",Emotional Reasoning,
"I got a raise, but taxes took some, so it's nothing, and I'm a pauper.",Mental Filter,Labeling
"I am a burden, because I feel heavy on my family's shoulders.",Labeling,Emotional Reasoning
I'm confused about where I stand in this relationship.,No Distortion,
I gained a pound; I'm a whale.,Magnification or Minimization,
"I gained a pound; I'm obese, and I'm letting myself go.",Magnification or Minimization,Personalization
I'm feeling really down today because I missed my best friend's birthday party due to work.,No Distortion,
I am a glutton.,Labeling,
I am a loser.,Labeling,
"She's crying; I hurt her, and she'll never forgive me.",Personalization,Jumping to Conclusions
"I saved money, but I spent $5 on coffee, so I'm broke, and I'll never be financially stable.",Mental Filter,Overgeneralization
"If I don't win, I'm a loser.",All-or-Nothing Thinking,
"I feel angry, so you are unfair, and I provoked you to treat me this way.",Emotional Reasoning,Personalization
"My partner is great, but he forgot our anniversary, so the relationship is dead.",Mental Filter,All-or-Nothing Thinking
Nothing good ever happens in this town.,Overgeneralization,
"She yawned, so I'm annoying her, and I'm a pest.",Jumping to Conclusions,Labeling
"I should not be sad, and my crying is burdening my friends.",Should Statements,Personalization
"I am a failure, so I will never succeed, and I'm doomed.",Labeling,All-or-Nothing Thinking
"I feel anxious, so the plane will crash.",Emotional Reasoning,
"I must please everyone, but one person is unhappy, so I failed.",Should Statements,Mental Filter
The dinner is cold; I am a terrible host.,Personalization,
The deal failed; I must have ruined it.,Personalization,
I am a slob.,Labeling,
I should have won that game.,Should Statements,
I failed this math quiz; I can't learn anything.,Overgeneralization,
I should always be perfect.,Should Statements,
"I got the job, but they were desperate, and they'll fire me within a week.",Disqualifying the Positive,Jumping to Conclusions
"The dinner burned; I ruin everything, and I can't look past the burnt pot.",Personalization,Mental Filter
"All men are liars, and this one lie is a massive betrayal.",Overgeneralization,Magnification or Minimization
I am sad that my favorite local bakery closed down.,No Distortion,
"I look fit, but my nose is big, so I'm ugly.",Mental Filter,
"I know I'll freeze on stage, because I'm only remembering my last failure.",Jumping to Conclusions,Mental Filter
It rained on the parade; I ruined it.,Personalization,
Nothing ever goes my way.,Overgeneralization,
"I feel guilty, so I must be a bad person.",Emotional Reasoning,
"The dinner was tasty, but the service was slow, so I hated it, and waiters should be faster.",Mental Filter,Should Statements
"My partner is great, but he forgot the milk, so he's useless, and I failed to remind him.",Mental Filter,Personalization
"The store is closed; I caused this, and I'm an idiot.",Personalization,Labeling
"I burned the toast, so I can't cook anything, and my family is going to starve.",Overgeneralization,Jumping to Conclusions
"He hugged me, but he probably felt obligated.",Disqualifying the Positive,
"If I don't get this job, I'm a total failure, and I'll never be able to pay my rent.",All-or-Nothing Thinking,Jumping to Conclusions
Either I'm beautiful or I'm ugly.,All-or-Nothing Thinking,
"I am a slob, and I make the house unlivable for my roommates.",Labeling,Personalization
I always get stuck in traffic.,Overgeneralization,
I regret not taking that job offer in London years ago.,No Distortion,
He looks bored; I'm boring.,Personalization,
"I tripped; everyone hates me, and I should watch my step.",Magnification or Minimization,Should Statements
"The store is closed; I caused this, and I'm fixated on my lateness.",Personalization,Mental Filter
"The party was fun, but I felt awkward for a second, so I humiliated myself.",Mental Filter,Jumping to Conclusions
I gained one pound; I’m obese.,Magnification or Minimization,
"I fixed the car, but I watched a video, so I'm still useless.",Disqualifying the Positive,All-or-Nothing Thinking
"I feel ugly, so I am hideous, and I'm an eyesore to others.",Emotional Reasoning,Personalization
I'm swamped with emails and don't know where to start.,No Distortion,
"I tripped; everyone hates me, and I'm a klutz.",Magnification or Minimization,Labeling
"I am a toxic person, and I ruin every gathering I attend.",Labeling,Personalization
"The book was thrilling, but the ending was vague, so I hated it.",Mental Filter,
"I look fit, but my arms are thin, so I look weak.",Mental Filter,
They are whispering; they are talking about me.,Jumping to Conclusions,
I never get a lucky break in life.,Overgeneralization,
"I spilled water; the floor is ruined, because I feel so overwhelmed by the mess.",Magnification or Minimization,Emotional Reasoning
"I missed one workout, so I'm a slob, and I should be more disciplined.",All-or-Nothing Thinking,Should Statements
"My parents divorced because of me, and I caused a massive family breakdown.",Personalization,Magnification or Minimization
I always catch every cold that goes around.,Overgeneralization,
"I feel lonely, so I am unlovable.",Emotional Reasoning,
I should have known.,Should Statements,
They are laughing; they are mocking me.,Jumping to Conclusions,
I am a jerk.,Labeling,
She's looking at her phone; she's bored of me.,Jumping to Conclusions,
I am a burden.,Labeling,
"I won't get the loan, so why try, because I feel so pessimistic about it.",Jumping to Conclusions,Emotional Reasoning
"You either love me or hate me, and since you argued with me, this is a catastrophe for our marriage.",All-or-Nothing Thinking,Magnification or Minimization
"It rained on my wedding; I jinxed it, and it's bad luck.",Personalization,Jumping to Conclusions
"They hired him, so I never get picked, and they should have realized my worth.",Overgeneralization,Should Statements
It's all or nothing with you.,All-or-Nothing Thinking,
"I won't get the loan, so why try, I'm a deadbeat.",Jumping to Conclusions,Labeling
"I didn't finish the last mile, so the run didn't count.",All-or-Nothing Thinking,
I gained an inch; I'm massive.,Magnification or Minimization,
"I feel rejected, so I am unwanted.",Emotional Reasoning,
I must never be late.,Should Statements,
I am furious that someone hit my parked car and drove off.,No Distortion,
"I feel envious of his talent, even though I know he worked hard for it.",No Distortion,
The bus is late; I jinxed it.,Personalization,
I failed one cooking attempt; I'll never be a good cook.,Overgeneralization,
"I feel guilty, so I must be bad, and my feelings are proof of my sins.",Emotional Reasoning,Jumping to Conclusions
"The store is closed; I caused this, and their holiday hours don't matter.",Personalization,Disqualifying the Positive
"I fixed the leak, but it was an easy fix, so it doesn't count.",Disqualifying the Positive,
"I feel anxious, so there is danger, and I'm about to die.",Emotional Reasoning,Magnification or Minimization
"The world should be fair, and the good things that happen are just anomalies.",Should Statements,Disqualifying the Positive
"The dinner burned; I ruin everything, and the oven being broken is no excuse.",Personalization,Disqualifying the Positive
"My husband is sad; I upset him, and I'm obsessing over my words.",Personalization,Mental Filter
I spilled ink; the rug is ruined forever.,Magnification or Minimization,
"I got a ticket, so I'm always in trouble, and the insurance company will cancel my policy.",Overgeneralization,Jumping to Conclusions
"They hired him, so I never get picked, and the interviews I passed before were for easy jobs.",Overgeneralization,Disqualifying the Positive
"I got a bonus, but taxes took some, so it's practically nothing.",Mental Filter,
Either I'm a success or a total flop.,All-or-Nothing Thinking,
I gained a pound; I'm huge.,Magnification or Minimization,
"She's looking away, so she's bored, and I should be more entertaining.",Jumping to Conclusions,Should Statements
"I feel rejected, so I'm an outcast, and being included yesterday was a mistake.",Emotional Reasoning,Disqualifying the Positive
He's sighing; he must be annoyed with me.,Jumping to Conclusions,
She's crying; I hurt her feelings.,Personalization,
I'm peeved that the barista got my order wrong again.,No Distortion,
"I feel a pang of envy when I see their vacation photos, even though I'm happy for them.",No Distortion,
I stumbled during the speech; the whole thing was a disaster.,All-or-Nothing Thinking,
"I got a C; I'll never graduate, and my parents will disown me.",Magnification or Minimization,Jumping to Conclusions
"I gained a pound; I'm obese, and I'll never be thin.",Magnification or Minimization,Overgeneralization
"I feel overwhelmed, so it's impossible, and the task is a mountain I can't climb.",Emotional Reasoning,Magnification or Minimization
"I feel ugly, so I look repulsive.",Emotional Reasoning,
"I feel rejected, so I am a total outcast.",Emotional Reasoning,All-or-Nothing Thinking
I feel mournful today thinking about my grandmother passing away.,No Distortion,
"I won the game, but it was just luck, so I'm still a loser.",Disqualifying the Positive,Labeling
"The world should be fair, but it's not, and justice never happens for me.",Should Statements,Overgeneralization
"I should be thinner, and since I'm not, I'm disgusting, and I must starve myself.",Should Statements,Labeling
"He bought me dinner, but he probably wants a favor.",Disqualifying the Positive,
"She said 'interesting', which means she hates it.",Jumping to Conclusions,
"I lost $5; I'm going bankrupt, and I'm fixated on the loss.",Magnification or Minimization,Mental Filter
"I feel guilty, so I am a criminal.",Emotional Reasoning,
It frustrates me when people interrupt me during meetings.,No Distortion,
All politicians are liars.,Overgeneralization,
I lost a cent; I'm broke.,Magnification or Minimization,
"I should be thinner, and my weight is a massive problem.",Should Statements,Magnification or Minimization
"The project failed; I take full responsibility, and the market crash is irrelevant.",Personalization,Disqualifying the Positive
The team lost; I played poorly.,Personalization,
"I passed the test, but I missed one point, so I'm stupid, and the high score was just because the test was easy.",Mental Filter,Disqualifying the Positive
I never get a lucky break.,Overgeneralization,
I feel cynical about the company's new mission statement.,No Distortion,
I ate a donut; I have zero self-control and I'm a glutton.,All-or-Nothing Thinking,Labeling
"She's looking away, so she's bored, because I feel so uninteresting.",Jumping to Conclusions,Emotional Reasoning
"Unless everyone applauds, the speech was a failure.",All-or-Nothing Thinking,
"I am a coward, so I'll never be brave, and it's hopeless.",Labeling,Emotional Reasoning
"I saved money, but not enough, so I'm poor.",Disqualifying the Positive,Labeling
"My son failed; it's my fault, and I'm a bad parent.",Personalization,Labeling
"The dinner burned; I ruin everything, because I feel so careless.",Personalization,Emotional Reasoning
"I feel anxious, so there is danger, and I'm making everyone else nervous too.",Emotional Reasoning,Personalization
"She yawned, so I'm annoying her, because I'm a nuisance.",Jumping to Conclusions,Labeling
"I feel lonely, so nobody loves me, and people should reach out to me.",Emotional Reasoning,Should Statements
"I should handle this alone, because I feel burdensome asking for help.",Should Statements,Emotional Reasoning
I must always say yes.,Should Statements,
"I was late; I've destroyed my reputation, and I'm never on time for anything.",Magnification or Minimization,Overgeneralization
I feel hurt that he didn't remember our anniversary.,No Distortion,
"I lost $5; I'm going bankrupt, and my savings don't count because I'm spending them.",Magnification or Minimization,Disqualifying the Positive
I burned the eggs; I ruin every meal.,Overgeneralization,
"It really hurts that I wasn't invited to the wedding, even though I know it was small.",No Distortion,
I forgot the keys; I'm totally incompetent.,Magnification or Minimization,
He frowned; he dislikes my gift.,Jumping to Conclusions,
"My parents divorced because of me, and they secretly blame me.",Personalization,Jumping to Conclusions
I am a bad mom.,Labeling,
"I feel angry, so you treated me unfairly, and people are always out to get me.",Emotional Reasoning,Overgeneralization
All contractors are scammers.,Overgeneralization,
"I lost my wallet, so I always lose everything, and I should be more responsible.",Overgeneralization,Should Statements
I am a burden.,Labeling,
"He loves me, but he doesn't know the real me, and he'll leave once he finds out.",Disqualifying the Positive,Jumping to Conclusions
"She yawned, so she is bored, and I always bore everyone I talk to.",Jumping to Conclusions,Overgeneralization
It rained on my wedding day; I must have jinxed it.,Personalization,
He frowned when I spoke; he hates my ideas.,Jumping to Conclusions,
"I feel sluggish, so I am lazy.",Emotional Reasoning,
"My parents divorced because of me, so I destroy families.",Personalization,All-or-Nothing Thinking
"My husband is sad; I upset him, and I'm insensitive.",Personalization,Labeling
"He held the door, but he just wanted to look at me.",Disqualifying the Positive,
"I feel ugly, so I am hideous, and I'll never be attractive.",Emotional Reasoning,Overgeneralization
"If I don't get into Ivy League, my education was a waste.",All-or-Nothing Thinking,
"I feel lonely, so I am unlovable.",Emotional Reasoning,
I am a mess.,Labeling,
"I stumbled, so I'm always clumsy, because I feel so awkward in my own body.",Overgeneralization,Emotional Reasoning
"I burned the toast, so I ruin every meal, and we are going to starve.",Overgeneralization,Magnification or Minimization
I lost a dollar; I'm going to be poor.,Magnification or Minimization,
"I must never make mistakes, but I did, and I always screw up.",Should Statements,Overgeneralization
I am angry that someone stole my bike.,No Distortion,
"I didn't win gold, so I'm a loser, and I've shamed my country.",Magnification or Minimization,Personalization
"I am a coward, because I feel so scared to try.",Labeling,Emotional Reasoning
"I feel ashamed, so I am bad.",Emotional Reasoning,
"I am a coward, and my fear is paralyzing.",Labeling,Magnification or Minimization
"I got a raise, but taxes took some, so it's nothing, and I'm basically destitute.",Mental Filter,Magnification or Minimization
"I feel anxious, so there is danger, and the safety measures don't count.",Emotional Reasoning,Disqualifying the Positive
I know I'm going to blush and ruin the speech.,Jumping to Conclusions,
"I failed the quiz, so I'll never learn, and my life is effectively over.",Overgeneralization,Magnification or Minimization
"I am a failure, and I fail at everything I try.",Labeling,Overgeneralization
"I lost my wallet, so I always lose everything, because I feel so irresponsible.",Overgeneralization,Emotional Reasoning
"I look good, but it's the makeup, because I feel ugly without it.",Disqualifying the Positive,Emotional Reasoning
"I am weak, and surviving the trauma doesn't mean I'm strong.",Labeling,Disqualifying the Positive
"I know I'll freeze on stage, and I'm a coward.",Jumping to Conclusions,Labeling
I'm puzzled by his behavior today; it seemed out of character.,No Distortion,
I feel melancholy today because it's the anniversary of my father's death.,No Distortion,
"People should be on time, and his excuse doesn't count even if it's valid.",Should Statements,Disqualifying the Positive
"The team lost; I played badly, and I'm a choke-artist.",Personalization,Labeling
I am a loser.,Labeling,
I should always be happy and positive.,Should Statements,
"I feel rejected, so I'm an outcast, and I'm obsessed with the rejection.",Emotional Reasoning,Mental Filter
"I feel angry, so you treated me unfairly.",Emotional Reasoning,
He frowned; he hates the dinner I cooked.,Jumping to Conclusions,
"My parents divorced because of me, and I'm a home-wrecker.",Personalization,Labeling
"I got a ticket, so I always get into trouble, and I'm a criminal.",Overgeneralization,Labeling
"The book was good, but the ending was sad, so I hated it.",Mental Filter,
"I look good, but it's just the flattering lighting.",Disqualifying the Positive,
I ate a bagel; my keto diet is completely destroyed.,All-or-Nothing Thinking,
I gained an ounce; I'm huge.,Magnification or Minimization,
"I am a toxic person, so I destroy everything, and I always will.",Labeling,Overgeneralization
This traffic is the end of the world.,Magnification or Minimization,
I should be thinner.,Should Statements,
"The dinner burned; I ruin everything, and I'm useless.",Personalization,Labeling
I am a failure.,Labeling,
My day was perfect until I stepped in a puddle; now it's ruined.,Mental Filter,
They are laughing; they must be making fun of me.,Jumping to Conclusions,
"He looks bored; I'm boring him, and I'm staring at his yawn.",Personalization,Mental Filter
"I look good, but it's the makeup, and I'm ugly underneath.",Disqualifying the Positive,Labeling
"I lost weight, but it's just water weight, so I haven't made any progress at all.",Disqualifying the Positive,All-or-Nothing Thinking
"I gained a pound; I'm obese, and losing 20 pounds before doesn't matter.",Magnification or Minimization,Disqualifying the Positive
"I got a C; I'll never graduate, and my As in other classes are irrelevant.",Magnification or Minimization,Disqualifying the Positive
Nobody ever listens to my ideas.,Overgeneralization,
"I feel stupid, so I am an idiot.",Emotional Reasoning,
"I stumbled, so I'm always clumsy, and I'm embarrassing my friends in public.",Overgeneralization,Personalization
"It rained today, so it always rains on my days off, and I'm a jinx.",Overgeneralization,Labeling
"I saved some money this month, but it's not enough to matter.",Disqualifying the Positive,
"I'm either a genius or an idiot, and since I missed one question, I'm an idiot, and the right answers were luck.",All-or-Nothing Thinking,Disqualifying the Positive
She hasn't arrived yet; she must have been in a car accident.,Jumping to Conclusions,
I should be able to handle this without help.,Should Statements,
"I was late; I've destroyed my reputation, and I'm a flake.",Magnification or Minimization,Labeling
"I feel overwhelmed, so it's impossible, and I'll never finish this work.",Emotional Reasoning,Overgeneralization
"I fixed the fence, but it's not professional quality.",Disqualifying the Positive,
"I stumbled, so I'm always clumsy, and everyone thinks I'm a freak.",Overgeneralization,Magnification or Minimization
"My parents divorced because of me, because I feel like the problem child.",Personalization,Emotional Reasoning
"My husband is sad; I upset him, and I've destroyed his happiness.",Personalization,Magnification or Minimization
"The dinner was a disaster because the salad was wilted, and I feel so ashamed I could die.",All-or-Nothing Thinking,Emotional Reasoning
I have a zit; I'm a monster.,Magnification or Minimization,
"I cooked dinner, but used a mix, so I can't cook, and I'm cheating my kids out of a real meal.",Disqualifying the Positive,Personalization
I feel jealous seeing their vacation photos while I'm stuck at work.,No Distortion,
"I look okay, but I have a pimple, so I'm ugly, and I'm a monster.",Mental Filter,Labeling
Waiting for the kettle is torture.,Magnification or Minimization,
The project failed; I take full responsibility so I am incompetent.,Personalization,All-or-Nothing Thinking
"Every time I wash the windows, it rains.",Overgeneralization,
"This line is torture, and I'm never coming back here again.",Magnification or Minimization,Overgeneralization
"I'm on edge about the job interview, but I've prepared as best I can.",No Distortion,
I am a failure.,Labeling,
"The store is closed; I caused this, and I should have left earlier.",Personalization,Should Statements
"I should handle this alone, and asking for help means they'll think I'm weak.",Should Statements,Jumping to Conclusions
"I feel lonely, so nobody loves me, and I'm a reject.",Emotional Reasoning,Labeling
Nothing ever works out the way I plan it.,Overgeneralization,
He didn't text back; he hates me.,Jumping to Conclusions,
"People should be on time, and his lateness means he doesn't respect me.",Should Statements,Jumping to Conclusions
"He was rude, so everyone is mean, and I must have a face that invites abuse.",Overgeneralization,Personalization
I'm anxious about the flight tomorrow because of the storm forecast.,No Distortion,
Either I'm a genius or I'm an idiot.,All-or-Nothing Thinking,
"They cheered for me, but they were just being nice to the new guy.",Disqualifying the Positive,
